05.12.2019 14:12:320	2016 ms	Event	BKN230-24-MOD-BAC	v 22.2.0.20
05.12.2019 17:51:51	13266532 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 17:51:51	13266558 ms	Event	controller	Output changed to 1
05.12.2019 17:51:58	13273822 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 17:52:41	13317869 ms	Info	Input	Input OPEN changed to 1
05.12.2019 17:54:57	13454976 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 17:54:58	13455059 ms	Event	controller	Output changed to 0
05.12.2019 17:55:00	13457630 ms	Info	Input	Input OPEN changed to 0
05.12.2019 17:55:13	13470750 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 17:58:05	13643547 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 17:58:05	13643646 ms	Event	controller	Output changed to 1
05.12.2019 17:58:13	13652455 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 17:58:57	13696501 ms	Info	Input	Input OPEN changed to 1
05.12.2019 18:01:11	13832007 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 18:01:12	13832045 ms	Event	controller	Output changed to 0
05.12.2019 18:01:14	13834616 ms	Info	Input	Input OPEN changed to 0
05.12.2019 18:01:27	13847741 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 18:04:18	14020519 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 18:04:18	14020532 ms	Event	controller	Output changed to 1
05.12.2019 18:04:26	14027791 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 18:05:09	14071834 ms	Info	Input	Input OPEN changed to 1
05.12.2019 18:07:25	14209031 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 18:07:25	14209035 ms	Event	controller	Output changed to 0
05.12.2019 18:07:28	14211606 ms	Info	Input	Input OPEN changed to 0
05.12.2019 18:07:41	14224726 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 18:10:32	14397568 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 18:10:33	14397622 ms	Event	controller	Output changed to 1
05.12.2019 18:10:40	14404879 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 18:11:23	14448923 ms	Info	Input	Input OPEN changed to 1
05.12.2019 18:13:39	14586079 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 18:13:40	14586121 ms	Event	controller	Output changed to 0
05.12.2019 18:13:42	14588692 ms	Info	Input	Input OPEN changed to 0
05.12.2019 18:13:55	14601818 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 18:16:46	14774586 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 18:16:47	14774608 ms	Event	controller	Output changed to 1
05.12.2019 18:16:54	14781842 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 18:17:37	14825882 ms	Info	Input	Input OPEN changed to 1
05.12.2019 18:19:53	14963062 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 18:19:54	14963107 ms	Event	controller	Output changed to 0
05.12.2019 18:19:56	14965679 ms	Info	Input	Input OPEN changed to 0
05.12.2019 18:20:09	14978806 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 18:23:00	15151588 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 18:23:00	15151591 ms	Event	controller	Output changed to 1
05.12.2019 18:23:08	15158865 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 18:23:51	15202908 ms	Info	Input	Input OPEN changed to 1
05.12.2019 18:26:07	15340108 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 18:26:08	15340192 ms	Event	controller	Output changed to 0
05.12.2019 18:26:10	15342760 ms	Info	Input	Input OPEN changed to 0
05.12.2019 18:26:23	15355886 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 18:29:15	15528658 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 18:29:15	15528677 ms	Event	controller	Output changed to 1
05.12.2019 18:29:22	15535909 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 18:30:05	15579951 ms	Info	Input	Input OPEN changed to 1
05.12.2019 18:32:21	15717138 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 18:32:22	15717178 ms	Event	controller	Output changed to 0
05.12.2019 18:32:24	15719754 ms	Info	Input	Input OPEN changed to 0
05.12.2019 18:32:37	15732881 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 18:35:28	15905631 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 18:35:28	15905663 ms	Event	controller	Output changed to 1
05.12.2019 18:35:36	15912942 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 18:36:19	15956985 ms	Info	Input	Input OPEN changed to 1
